Rule,Antecedent Support,Consequent Support,Support,Confidence,Lift,Conviction
"{b,l,m} --- > {y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o} --- > {b,l,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y} --- > {l,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,m} --- > {b,l,y}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o} --- > {b,y,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m} --- > {l,y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b} --- > {y,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {b,l,y,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {l,y,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o,S,m} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,m,S} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S,m} --- > {l,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o,m} --- > {b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,o,m} --- > {l,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o,S} --- > {b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,m,S} --- > {b,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m,S} --- > {l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,m} --- > {o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b,S} --- > {o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,m} --- > {l,b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S} --- > {b,l,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o} --- > {b,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,o} --- > {l,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m} --- > {l,o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,S} --- > {b,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,S} --- > {l,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b} --- > {o,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
